GN_ID,Gene_Name,log2FC(insoluble/soluble protein ratio), -LOG10(P-VALUE),Protein_ID
Chrnb1_sp|P09690|ACHB_MOUSE,Chrnb1,-0.455310433594343,1.864916628025,P09690
Mgll_sp|O35678|MGLL_MOUSE,Mgll,-0.456426164999347,1.51231238932054,O35678
Itih2_sp|Q61703|ITIH2_MOUSE,Itih2,-0.456997506149833,1.78033660608289,Q61703
Rab23_sp|P35288|RAB23_MOUSE,Rab23,-0.45702769389361,2.09089417661778,P35288
Stx7_sp|O70439|STX7_MOUSE,Stx7,-0.461935842371119,1.35328877191754,O70439
Ssr1_sp|Q9CY50|SSRA_MOUSE,Ssr1,-0.461978220967079,1.42087642581545,Q9CY50
Acsl6_sp|Q91WC3|ACSL6_MOUSE,Acsl6,-0.462041040747981,1.47898087248148,Q91WC3
Dgka_sp|O88673|DGKA_MOUSE,Dgka,-0.462405968888601,2.27748265184218,O88673
Myo18a_tr|E9PUR2|E9PUR2_MOUSE,Myo18a,-0.466700099925888,1.50036790638729,E9PUR2
3425401B19Rik_tr|D3Z1D3|D3Z1D3_MOUSE,3425401B19Rik,-0.46785805915101,1.41564153242856,D3Z1D3
Camk2b_sp|P28652|KCC2B_MOUSE,Camk2b,-0.467888053152566,1.6886857764539,P28652
H2-D1_sp|P01900|HA12_MOUSE,H2-D1,-0.472008792929459,1.30309657037055,P01900
Ckap4_sp|Q8BMK4|CKAP4_MOUSE,Ckap4,-0.472569571321656,1.8626107082716,Q8BMK4
Myo18a_sp|Q9JMH9|MY18A_MOUSE,Myo18a,-0.472870891961718,1.98902690910784,Q9JMH9
Brcc3_sp|P46737|BRCC3_MOUSE,Brcc3,-0.47547715129867,2.2202355239316,P46737
Mrc1_sp|Q61830|MRC1_MOUSE,Mrc1,-0.476082039111828,3.90464662747302,Q61830
Acss1_sp|Q99NB1|ACS2L_MOUSE,Acss1,-0.476958627809833,2.53860438207482,Q99NB1
Ivd_sp|Q9JHI5|IVD_MOUSE,Ivd,-0.477929112801973,1.45126002915793,Q9JHI5
Cltc_tr|F6Z1R4|F6Z1R4_MOUSE,Cltc,-0.478094842054316,1.39146249329058,F6Z1R4
Gstm1_sp|P10649|GSTM1_MOUSE,Gstm1,-0.481715407723835,1.59170270327078,P10649
Gvin1_sp|Q80SU7|GVIN1_MOUSE,Gvin1,-0.482244377699995,2.26190644981584,Q80SU7
Nexn_sp|Q7TPW1|NEXN_MOUSE,Nexn,-0.484287923175889,2.05430377416188,Q7TPW1
Idh2_sp|P54071|IDHP_MOUSE,Idh2,-0.486980467113257,1.34543842546724,P54071
Kif5b_sp|Q61768|KINH_MOUSE,Kif5b,-0.493962218292896,1.33650462120123,Q61768
Gstm1_sp|P10649|GSTM1_MOUSE,Gstm1,-0.495920998914109,1.63677229219247,P10649
Cobll1_sp|Q3UMF0|COBL1_MOUSE,Cobll1,-0.499177076085777,1.64631374323004,Q3UMF0
Myo18a_tr|F6ZGN3|F6ZGN3_MOUSE,Myo18a,-0.499547066831503,1.47568395106745,F6ZGN3
Camk2b_tr|Q5SVJ0|Q5SVJ0_MOUSE,Camk2b,-0.500011174745969,1.5954145884182,Q5SVJ0
